request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,289.09,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,1534.44,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 1,534.44 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2640930.53,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Pay IDR 18,164,000 in full on 15 September 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,13314.91,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018 request. Although ZAR 13,314.91 is available today, the full amount cannot be completed safely within 90 days."
request_33,29986.68,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 118,000 request. Although INR 29,986.68 is available today, the full amount cannot be completed safely within 90 days."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,23760.49,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,575.69,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,4430595.82,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 14,649,000 request. Although IDR 4,430,595.82 is available today, the full amount cannot be completed safely within 90 days."
request_38,173.82,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,54080.71,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,353.67,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1,290.30 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,8335351.09,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Pay IDR 38,760,000 in full on 15 November 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 21,398,000 minimum protected."
request_44,30170.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,800 request. Although INR 30,170.41 is available today, the full amount cannot be completed safely within 90 days."
request_45,3515118.34,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,35332.73,affordable_with_plan,partial_payment,2024-12-03:35332.73|2024-12-15:14117.27,2024-12-15,none,"Pay INR 35,332.73 today and the remaining INR 14,117.27 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,12330441.83,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4636:696350,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 9 July 2024. None of the available options keeps the INR 41,500 minimum protected."
request_53,471.47,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,2055.56,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,055.56 is available today, the full amount cannot be completed safely within 90 days."
request_55,114491.71,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,stop:event_5101|reduce_to:event_5103:2536,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
